date,departments,daily_visits,daily_admissions,admission_rate,patient_days,daily_discharge,wait_time,daily_revenue,ctf_daily,daily_profit,ctp_daily,beds_in_use,total_beds,occupancy_rate,daily_readmission,readmission_rate,bed_turnover,employee_count,employee_resign,employee_turnover,equip_count,equip_use,staff_patient_ratio,refer_reason
2024-01-01,emergency,112,0,0.0,29,10,11,2932.0,19.0,2913.0,7,10,10,1.0,1,0.01,0.0,131,1,0.01,44,0.6,1:3,Lab Tests
2024-01-02,internal_med,189,20,0.11,100,1,30,5313.0,16.0,5297.0,17,32,53,0.6,3,0.16,0.4,114,3,0.03,56,0.6,1:1,Chronic Illness
2024-01-03,surgery,102,9,0.09,108,38,28,2948.0,6.0,2942.0,21,7,54,0.13,3,0.12,0.2,42,2,0.05,58,0.8,1:1,Imaging
2024-01-04,pediatric,24,24,1.0,65,2,16,18732.0,17.0,18715.0,12,26,56,0.46,3,0.05,0.4,46,2,0.04,22,0.7,1:1,Child Health
2024-01-05,obgyn,116,0,0.0,11,6,24,1354.0,17.0,1337.0,10,22,22,1.0,2,0.18,0.0,89,1,0.01,23,0.8,1:2,Nervous System
2024-01-06,cardio,81,0,0.0,114,31,18,15274.0,18.0,15256.0,11,31,31,1.0,1,0.01,0.0,128,0,0.0,39,0.7,1:4,Joint Issues
2024-01-07,orthopedic,198,0,0.0,121,24,26,11067.0,10.0,11057.0,13,30,30,1.0,4,0.04,0.0,96,0,0.0,57,0.6,1:4,Prenatal
2024-01-08,neurology,30,0,0.0,33,18,20,9987.0,4.0,9983.0,24,10,18,0.56,2,0.15,0.0,69,2,0.03,52,0.5,1:3,Child Health
2024-01-09,oncology,112,0,0.0,118,27,33,17297.0,14.0,17283.0,4,35,35,1.0,0,0.14,0.0,143,3,0.02,26,0.6,1:1,Mental Health
2024-01-10,radiology,131,0,0.0,77,8,36,4704.0,4.0,4700.0,5,14,18,0.78,0,0.06,0.0,38,1,0.03,46,0.5,1:4,Breathing Disorders
2024-01-11,pathology,84,0,0.0,123,24,23,13153.0,8.0,13145.0,15,7,24,0.29,2,0.01,0.0,20,0,0.0,24,0.8,1:3,Prenatal
2024-01-12,anesthesiology,97,0,0.0,93,10,59,7125.0,7.0,7118.0,13,19,19,1.0,4,0.17,0.0,59,0,0.0,27,0.9,1:1,Joint Issues
2024-01-13,icu,126,0,0.0,58,17,39,3683.0,10.0,3673.0,12,51,51,1.0,0,0.06,0.0,41,4,0.1,57,0.7,1:2,Prenatal
2024-01-14,psychiatry,109,0,0.0,41,29,47,3135.0,13.0,3122.0,17,33,33,1.0,4,0.04,0.0,131,2,0.02,23,0.7,1:4,Nervous System
2024-01-15,physical_therapy,113,17,0.15,70,6,36,12993.0,16.0,12977.0,8,35,58,0.6,3,0.1,0.3,59,3,0.05,23,0.9,1:4,Joint Issues
2024-01-16,resp_therapy,161,0,0.0,138,14,59,9254.0,4.0,9250.0,3,35,35,1.0,2,0.18,0.0,57,1,0.02,54,0.6,1:1,Joint Issues
2024-01-17,nutrition_diet,140,0,0.0,111,22,57,19457.0,11.0,19446.0,16,46,46,1.0,3,0.01,0.0,67,0,0.0,42,0.6,1:2,Cancer
2024-01-18,pharmacy,159,26,0.16,44,6,24,18640.0,2.0,18638.0,20,45,77,0.58,0,0.15,0.3,94,4,0.04,47,0.8,1:2,Nervous System
2024-01-19,laboratory,62,0,0.0,60,26,55,4702.0,14.0,4688.0,13,35,59,0.59,4,0.11,0.0,126,2,0.02,20,0.8,1:4,Critical Care
2024-01-20,infection_control,11,0,0.0,54,33,44,4761.0,13.0,4748.0,10,26,33,0.79,3,0.09,0.0,27,2,0.07,20,0.8,1:1,Pre/Post Surgery
2024-01-21,medical_records,97,8,0.08,86,12,24,7344.0,2.0,7342.0,24,8,28,0.29,0,0.15,0.3,105,1,0.01,57,0.9,1:3,Nervous System
2024-01-22,admin,167,17,0.1,122,35,12,17292.0,17.0,17275.0,5,17,69,0.25,1,0.19,0.2,87,0,0.0,35,0.5,1:4,Cardiac Issues
2024-01-23,security,47,0,0.0,74,14,39,14681.0,16.0,14665.0,16,48,48,1.0,3,0.05,0.0,94,1,0.01,12,0.7,1:2,Joint Issues
2024-01-24,emergency,139,0,0.0,23,22,46,5147.0,17.0,5130.0,4,27,27,1.0,1,0.03,0.0,109,1,0.01,34,0.6,1:3,Nervous System
2024-01-25,internal_med,197,0,0.0,102,23,17,4041.0,12.0,4029.0,18,28,28,1.0,1,0.18,0.0,149,4,0.03,26,0.9,1:1,Critical Care
2024-01-26,surgery,30,14,0.47,140,7,45,14189.0,7.0,14182.0,8,24,45,0.53,0,0.13,0.3,99,2,0.02,31,0.9,1:2,Prenatal
2024-01-27,pediatric,170,0,0.0,33,25,10,5047.0,12.0,5035.0,3,58,64,0.91,2,0.09,0.0,114,3,0.03,38,0.6,1:3,Imaging
2024-01-28,obgyn,67,25,0.37,74,13,51,16131.0,4.0,16127.0,16,40,78,0.51,4,0.11,0.3,89,2,0.02,55,0.5,1:4,Chronic Illness
2024-01-29,cardio,31,30,0.97,147,21,20,3915.0,16.0,3899.0,12,5,56,0.09,0,0.15,0.5,109,2,0.02,35,0.6,1:2,Mental Health
2024-01-30,orthopedic,98,29,0.3,22,10,9,10640.0,2.0,10638.0,8,19,58,0.33,3,0.15,0.5,78,4,0.05,43,0.6,1:1,Joint Issues
2024-01-31,neurology,58,12,0.21,109,9,57,14230.0,8.0,14222.0,11,21,42,0.5,4,0.18,0.3,47,3,0.06,35,0.7,1:2,Imaging
2024-02-01,oncology,68,0,0.0,147,15,49,18298.0,2.0,18296.0,9,28,30,0.93,2,0.09,0.0,91,0,0.0,18,0.8,1:4,Elective Procedure
2024-02-02,radiology,179,0,0.0,108,2,55,5260.0,18.0,5242.0,4,31,31,1.0,0,0.06,0.0,33,3,0.09,49,1.0,1:1,Imaging
2024-02-03,pathology,197,5,0.03,64,25,38,19105.0,10.0,19095.0,13,27,57,0.47,2,0.13,0.1,43,0,0.0,20,0.7,1:4,Lab Tests
