date,departments,daily_visits,daily_admissions,admission_rate,patient_days,daily_discharge,wait_time,daily_revenue,ctf_daily,daily_profit,ctp_daily,beds_in_use,total_beds,occupancy_rate,daily_readmission,readmission_rate,bed_turnover,employee_count,employee_resign,employee_turnover,equip_count,equip_use,staff_patient_ratio,refer_reason,day_of_week
2024-01-01,emergency,5,0,0.0,0,19,7,0,0,0,0,43,43,1.0,0,0.0,0.0,13,1,0.08,31,0.7,1:2,Cardiac Issues,Monday
2024-01-02,internal_med,11,0,0.0,14,3,16,0,0,0,0,20,20,1.0,0,0.02,0.0,17,1,0.06,43,0.6,1:3,Elective Procedure,Tuesday
2024-01-03,surgery,0,0,0.0,116,20,0,10762,0,10757,0,41,52,0.79,2,0.07,0.0,18,1,0.06,59,0.7,1:3,Child Health,Wednesday
2024-01-04,pediatric,35,35,1.0,39,5,39,0,0,0,0,36,77,0.47,1,0.17,0.5,11,0,0.0,46,0.6,1:3,Child Health,Thursday
2024-01-05,obgyn,30,0,0.0,40,27,22,0,0,0,0,32,32,1.0,4,0.17,0.0,12,0,0.0,55,0.6,1:2,Pre/Post Surgery,Friday
2024-01-06,cardio,9,9,1.0,73,19,19,0,0,0,0,20,75,0.27,1,0.01,0.1,14,1,0.07,50,0.8,1:2,Accident,Saturday
2024-01-07,orthopedic,38,0,0.0,70,18,0,0,0,0,0,18,18,1.0,0,0.15,0.0,12,0,0.0,59,0.8,1:3,Accident,Sunday
2024-01-08,neurology,5,0,0.0,104,11,0,0,0,0,0,13,13,1.0,3,0.04,0.0,16,1,0.06,32,0.9,1:4,Nervous System,Monday
2024-01-09,oncology,27,0,0.0,39,18,11,0,0,0,0,36,36,1.0,1,0.1,0.0,16,0,0.0,26,0.7,1:3,Accident,Tuesday
2024-01-10,radiology,39,0,0.0,0,0,0,3559,0,3552,0,0,0,0.0,0,0.0,0.0,0,0,0.0,53,0.6,1:4,0,Wednesday
2024-01-11,pathology,15,0,0.0,0,0,0,12266,0,12251,0,0,0,0.0,0,0.0,0.0,0,0,0.0,11,0.7,1:3,0,Thursday
2024-01-12,anesthesiology,42,0,0.0,0,0,0,2125,0,2108,0,0,0,0.0,0,0.0,0.0,0,0,0.0,27,0.8,1:2,0,Friday
2024-01-13,icu,22,0,0.0,59,3,43,0,0,0,0,30,30,1.0,1,0.19,0.0,13,0,0.0,29,0.6,1:1,Chronic Illness,Saturday
2024-01-14,psychiatry,42,41,0.98,130,11,57,0,0,0,0,5,57,0.09,2,0.13,0.7,11,1,0.09,31,0.6,1:3,Mental Health,Sunday
2024-01-15,physical_therapy,20,0,0.0,0,14,0,11359,0,11351,0,14,14,1.0,0,0.0,0.0,15,0,0.0,37,0.6,1:1,0,Monday
2024-01-16,resp_therapy,14,0,0.0,0,17,0,19427,0,19417,0,17,17,1.0,0,0.0,0.0,15,1,0.07,20,0.9,1:2,0,Tuesday
2024-01-17,nutrition_diet,30,0,0.0,0,0,0,6009,0,5997,0,0,0,0.0,0,0.0,0.0,19,0,0.0,0,0.0,1:1,0,Wednesday
2024-01-18,pharmacy,8,0,0.0,0,0,0,6764,0,6754,0,0,0,0.0,0,0.0,0.0,0,0,0.0,41,1.0,1:1,0,Thursday
2024-01-19,laboratory,24,0,0.0,0,0,0,3726,0,3711,0,0,0,0.0,0,0.0,0.0,0,0,0.0,18,0.5,1:4,0,Friday
2024-01-20,infection_control,45,0,0.98,0,26,0,0,0,0,0,0,0,0.08,2,0.07,0.0,0,0,0.0,0,0.0,1:3,0,Saturday
2024-01-21,medical_records,36,0,0.0,0,0,0,1924,0,1916,0,0,0,0.0,0,0.0,0.0,14,1,0.07,0,0.0,1:4,0,Sunday
2024-01-22,admin,46,0,0.0,0,0,0,6585,0,6575,0,0,0,0.0,0,0.0,0.0,13,1,0.08,0,0.0,1:1,0,Monday
2024-01-23,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,13,0,0.0,0,0.0,0,0,Tuesday
2024-01-24,emergency,27,9,0.33,0,29,31,0,0,0,0,8,46,0.17,0,0.0,0.0,11,1,0.09,55,0.6,1:1,Cardiac Issues,Wednesday
2024-01-25,internal_med,8,0,0.0,14,10,37,0,0,0,0,27,27,1.0,3,0.16,0.0,11,1,0.09,19,0.8,1:4,Rehabilitation,Thursday
2024-01-26,surgery,0,0,0.0,14,7,0,8676,0,8671,0,26,31,0.84,4,0.16,0.0,16,0,0.0,26,0.9,1:2,Joint Issues,Friday
2024-01-27,pediatric,28,0,0.0,72,23,36,0,0,0,0,10,23,0.43,1,0.18,0.0,19,0,0.0,32,1.0,1:2,Joint Issues,Saturday
2024-01-28,obgyn,11,0,0.0,22,17,51,0,0,0,0,17,17,1.0,3,0.2,0.0,17,0,0.0,54,0.7,1:2,Accident,Sunday
2024-01-29,cardio,19,0,0.0,11,4,31,0,0,0,0,31,31,1.0,2,0.03,0.0,14,1,0.07,31,1.0,1:3,Mental Health,Monday
2024-01-30,orthopedic,5,0,0.0,139,10,0,0,0,0,0,10,10,1.0,1,0.15,0.0,16,1,0.06,26,0.6,1:4,Chronic Illness,Tuesday
2024-01-31,neurology,34,22,0.65,25,16,0,0,0,0,0,13,51,0.25,1,0.2,0.4,15,1,0.07,37,0.9,1:2,Cancer,Wednesday
2024-02-01,oncology,40,0,0.0,30,24,24,0,0,0,0,41,59,0.69,4,0.07,0.0,10,0,0.0,38,0.8,1:4,Accident,Thursday
2024-02-02,radiology,10,0,0.0,0,0,0,2525,0,2521,0,0,0,0.0,0,0.0,0.0,0,0,0.0,22,0.7,1:1,0,Friday
2024-02-03,pathology,17,0,0.0,0,0,0,17427,0,17409,0,0,0,0.0,0,0.0,0.0,0,0,0.0,52,0.7,1:1,0,Saturday
2024-02-04,anesthesiology,5,0,0.0,0,0,0,15391,0,15385,0,0,0,0.0,0,0.0,0.0,0,0,0.0,21,0.5,1:3,0,Sunday
2024-02-05,icu,13,0,0.0,147,10,30,0,0,0,0,35,44,0.8,0,0.19,0.0,19,1,0.05,50,0.7,1:1,Imaging,Monday
2024-02-06,psychiatry,23,0,0.0,14,19,23,0,0,0,0,34,36,0.94,4,0.11,0.0,19,0,0.0,48,1.0,1:1,Imaging,Tuesday
2024-02-07,physical_therapy,25,0,0.52,0,19,0,12762,0,12753,0,38,70,0.54,0,0.0,0.0,12,1,0.08,24,0.8,1:4,0,Wednesday
2024-02-08,resp_therapy,45,0,0.0,0,10,0,12175,0,12156,0,10,10,1.0,0,0.0,0.0,14,1,0.07,36,1.0,1:1,0,Thursday
2024-02-09,nutrition_diet,36,0,0.0,0,0,0,8666,0,8658,0,0,0,0.0,0,0.0,0.0,16,1,0.06,0,0.0,1:4,0,Friday
2024-02-10,pharmacy,48,0,0.0,0,0,0,3259,0,3242,0,0,0,0.0,0,0.0,0.0,0,0,0.0,59,0.5,1:3,0,Saturday
2024-02-11,laboratory,46,0,0.0,0,0,0,9398,0,9384,0,0,0,0.0,0,0.0,0.0,0,0,0.0,11,0.5,1:1,0,Sunday
2024-02-12,infection_control,18,0,0.33,0,23,0,0,0,0,0,0,0,0.56,1,0.19,0.0,0,0,0.0,0,0.0,1:1,0,Monday
2024-02-13,medical_records,16,0,0.0,0,0,0,8268,0,8259,0,0,0,0.0,0,0.0,0.0,16,1,0.06,0,0.0,1:1,0,Tuesday
2024-02-14,admin,8,0,0.0,0,0,0,12039,0,12031,0,0,0,0.0,0,0.0,0.0,10,0,0.0,0,0.0,1:1,0,Wednesday
2024-02-15,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,10,0,0.0,0,0.0,0,0,Thursday
2024-02-16,emergency,14,3,0.21,0,16,48,0,0,0,0,8,27,0.3,0,0.0,0.0,13,0,0.0,57,0.9,1:3,Joint Issues,Friday
2024-02-17,internal_med,5,2,0.4,105,13,14,0,0,0,0,16,31,0.52,4,0.09,0.1,10,0,0.0,23,0.8,1:3,Child Health,Saturday
2024-02-18,surgery,0,11,0.39,76,19,0,7639,0,7625,0,30,60,0.5,4,0.19,0.2,17,1,0.06,22,0.6,1:2,Pre/Post Surgery,Sunday
2024-02-19,pediatric,46,0,0.0,86,34,18,0,0,0,0,45,45,1.0,2,0.02,0.0,17,0,0.0,46,0.7,1:3,Rehabilitation,Monday
2024-02-20,obgyn,22,11,0.5,95,3,25,0,0,0,0,14,28,0.5,2,0.02,0.4,13,1,0.08,12,1.0,1:2,Cardiac Issues,Tuesday
2024-02-21,cardio,34,0,0.0,10,6,17,0,0,0,0,45,45,1.0,0,0.19,0.0,19,1,0.05,31,0.5,1:1,Rehabilitation,Wednesday
2024-02-22,orthopedic,20,0,0.0,51,33,0,0,0,0,0,38,53,0.72,4,0.15,0.0,14,0,0.0,52,0.5,1:4,Pre/Post Surgery,Thursday
2024-02-23,neurology,11,0,0.0,94,2,0,0,0,0,0,31,33,0.94,0,0.0,0.0,18,0,0.0,28,0.7,1:3,Cardiac Issues,Friday
2024-02-24,oncology,13,0,0.0,22,28,44,0,0,0,0,28,28,1.0,3,0.04,0.0,16,0,0.0,35,0.9,1:1,Chronic Illness,Saturday
2024-02-25,radiology,15,0,0.0,0,0,0,3907,0,3899,0,0,0,0.0,0,0.0,0.0,0,0,0.0,26,0.8,1:2,0,Sunday
2024-02-26,pathology,44,0,0.0,0,0,0,7224,0,7218,0,0,0,0.0,0,0.0,0.0,0,0,0.0,17,1.0,1:2,0,Monday
2024-02-27,anesthesiology,45,0,0.0,0,0,0,7349,0,7336,0,0,0,0.0,0,0.0,0.0,0,0,0.0,54,0.8,1:1,0,Tuesday
2024-02-28,icu,29,0,0.0,74,27,34,0,0,0,0,59,59,1.0,2,0.11,0.0,16,1,0.06,44,0.6,1:4,Joint Issues,Wednesday
2024-02-29,psychiatry,22,0,0.0,125,22,58,0,0,0,0,19,22,0.86,3,0.15,0.0,15,1,0.07,33,0.9,1:2,Lab Tests,Thursday
2024-03-01,physical_therapy,30,0,0.0,0,1,0,11820,0,11818,0,37,37,1.0,0,0.0,0.0,19,0,0.0,50,0.7,1:3,0,Friday
2024-03-02,resp_therapy,23,0,0.0,0,7,0,14495,0,14490,0,20,20,1.0,0,0.0,0.0,16,1,0.06,14,0.9,1:1,0,Saturday
2024-03-03,nutrition_diet,11,0,0.0,0,0,0,2029,0,2026,0,0,0,0.0,0,0.0,0.0,17,1,0.06,0,0.0,1:3,0,Sunday
2024-03-04,pharmacy,49,0,0.0,0,0,0,2285,0,2268,0,0,0,0.0,0,0.0,0.0,0,0,0.0,34,0.8,1:4,0,Monday
2024-03-05,laboratory,31,0,0.0,0,0,0,14589,0,14577,0,0,0,0.0,0,0.0,0.0,0,0,0.0,15,1.0,1:3,0,Tuesday
2024-03-06,infection_control,43,0,0.0,0,22,0,0,0,0,0,0,0,1.0,3,0.15,0.0,0,0,0.0,0,0.0,1:4,0,Wednesday
2024-03-07,medical_records,44,0,0.0,0,0,0,15170,0,15155,0,0,0,0.0,0,0.0,0.0,17,1,0.06,0,0.0,1:1,0,Thursday
2024-03-08,admin,6,0,0.0,0,0,0,17273,0,17256,0,0,0,0.0,0,0.0,0.0,14,1,0.07,0,0.0,1:1,0,Friday
2024-03-09,security,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,17,0,0.0,0,0.0,0,0,Saturday
2024-03-10,emergency,43,0,0.0,0,37,53,0,0,0,0,22,57,0.39,0,0.0,0.0,17,0,0.0,14,0.7,1:1,Critical Care,Sunday
2024-03-11,internal_med,22,5,0.23,134,32,51,0,0,0,0,33,70,0.47,0,0.05,0.1,16,0,0.0,38,0.5,1:2,Nervous System,Monday
2024-03-12,surgery,0,0,0.0,86,26,0,7981,0,7974,0,26,26,1.0,0,0.16,0.0,11,0,0.0,34,0.6,1:4,Accident,Tuesday
2024-03-13,pediatric,18,17,0.94,123,1,38,0,0,0,0,14,32,0.44,1,0.03,0.5,14,1,0.07,15,0.6,1:2,Elective Procedure,Wednesday
2024-03-14,obgyn,36,0,0.0,135,28,8,0,0,0,0,56,56,1.0,0,0.07,0.0,13,0,0.0,20,0.9,1:2,Imaging,Thursday
2024-03-15,cardio,19,19,1.0,83,6,15,0,0,0,0,39,64,0.61,1,0.09,0.3,18,1,0.06,19,0.7,1:4,Cancer,Friday
2024-03-16,orthopedic,8,8,1.0,107,24,0,0,0,0,0,29,61,0.48,3,0.12,0.1,10,1,0.1,35,0.5,1:4,Imaging,Saturday
2024-03-17,neurology,6,0,0.0,114,18,0,0,0,0,0,53,62,0.85,0,0.07,0.0,19,1,0.05,16,1.0,1:1,Imaging,Sunday
